OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_6037	Eukaryota	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Rhogostoma-lineage	Rhogostoma-lineage_X	Rhogostoma-lineage_X_sp.
ASV_1395	Eukaryota	Ciliophora	Spirotrichea	Hypotrichia	Urostylidae	Uroleptus	Uroleptus_gallina
ASV_1781	Eukaryota	Lobosa	Tubulinea	Nolandida	Nolandellidae	Nolandellidae_X	Nolandellidae_X_sp.
ASV_2160	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Peregriniidae	Peregrinia	Unassigned
ASV_2310	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Unassigned	Unassigned
ASV_2359	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_2400	Eukaryota	Lobosa	Tubulinea	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2910	Eukaryota	Lobosa	Tubulinea	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2928	Eukaryota	Conosa	Variosea	Variosea_X	Filamoebidae	Filamoeba	Unassigned
ASV_3476	Eukaryota	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-C	Chrysophyceae_Clade-C_X	Chrysophyceae_Clade-C_X_sp.
ASV_2681	Eukaryota	Sagenista	Labyrinthulomycetes	Thraustochytriales	Thraustochytriaceae	Thraustochytriaceae_X	Thraustochytriaceae_X_sp.
ASV_1589	Eukaryota	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Monocystis	Monocystis_sp.
ASV_1852	Eukaryota	Cercozoa	Endomyxa-Phytomyxea	Plasmodiophorida	Plasmodiophorida_X	Spongospora	Spongospora_subterranea
ASV_2649	Eukaryota	Cercozoa	Filosa-Imbricatea	Thaumatomonadida	Peregriniidae	Peregrinia	Unassigned
ASV_2748	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Cercomonadidae	Cercomonas	Cercomonas_braziliensis
ASV_2987	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.
ASV_3964	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_1397	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_1894	Eukaryota	Lobosa	Tubulinea	Nolandida	Nolandellidae	Nolandellidae_X	Nolandellidae_X_sp.
ASV_2042	Eukaryota	Conosa	Variosea	ATCC50593-Flamella-WIM80-lineage	WIM80-lineage	WIM80-lineage_X	WIM80-lineage_X_sp.
ASV_2439	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Teretomonas	Teretomonas_rotunda
ASV_2445	Eukaryota	Conosa	Variosea	Variosea_X	AND16-lineage	AND16-lineage_X	AND16-lineage_X_sp.
ASV_3346	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_4053	Eukaryota	Lobosa	Tubulinea	Echinamoebida	Vermamoebidae	Hartmannella	Hartmannella_vermiformis
ASV_4220	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Unassigned	Unassigned
ASV_5750	Eukaryota	Cercozoa	Filosa-Imbricatea	Filosa-Imbricatea_X	Nudifilidae	Nudifila	Nudifila_producta
ASV_5786	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Unassigned	Unassigned	Unassigned
ASV_6922	Eukaryota	Lobosa	Lobosa-G1	Lobosa-G1_X	Lobosa-G1_XX	Lobosa-G1_XXX	Lobosa-G1_XXX_sp.
ASV_2879	Eukaryota	Conosa	Variosea	Variosea_X	Variosea_XX	Variosea_XXX	Variosea_XXX_sp.
ASV_4365	Eukaryota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_1328	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Unassigned	Unassigned
ASV_1407	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Unassigned	Unassigned
ASV_2095	Eukaryota	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Unassigned	Unassigned
ASV_3047	Eukaryota	Lobosa	Tubulinea	Echinamoebida	Echinamoebidae	Echinamoeba	Echinamoeba_thermarum
ASV_3675	Eukaryota	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_4128	Eukaryota	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Unassigned	Unassigned
