OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_898	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_1280	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Aphelenchoides	Unassigned
ASV_1854	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enchodelus	Enchodelus_veletensis
ASV_523	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Carcharodiscus	Carcharodiscus_banaticus
ASV_416	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Paratylenchus	Unassigned
ASV_442	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_4643	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Tylencholaimus	Tylencholaimus_sp.
ASV_578	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Helicotylenchus	Helicotylenchus_platyurus
ASV_812	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Odontolaimus	Odontolaimus_sp.
ASV_412	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_473	Eukaryota	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Rotifera_XXX	Rotifera_XXX_sp.
ASV_511	Eukaryota	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Unassigned	Unassigned
ASV_867	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_887	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_810	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_550	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_503	Eukaryota	Metazoa	Arthropoda	Unassigned	Unassigned	Unassigned	Unassigned
ASV_2225	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_658	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Bledius	Bledius_femoralis
ASV_398	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Paratylenchus	Paratylenchus_neoamblicephalus
ASV_580	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Ditylenchus	Ditylenchus_brevicauda
ASV_1378	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Microdorylaimus	Microdorylaimus_modestus
ASV_5359	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
ASV_4386	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Enoplea_XX	Enoplea_XX_sp.
ASV_930	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Cylindrolaimus	Cylindrolaimus_sp.
ASV_706	Eukaryota	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Rotifera_XXX	Rotifera_XXX_sp.
ASV_1148	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_836	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.
ASV_1410	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Prismatolaimus	Prismatolaimus_intermedius
ASV_955	Eukaryota	Metazoa	Tardigrada	Tardigrada_X	Tardigrada_XX	Macrobiotus	Unassigned
ASV_1640	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Lelenchus	Lelenchus_leptosoma
ASV_530	Eukaryota	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned
ASV_3936	Eukaryota	Metazoa	Nematoda	Enoplea	Enoplea_X	Unassigned	Unassigned
